,description,place,charged_amount,label,label_id
7546,Diagnostic insertion of small bowel tube and specimen collection using imaging guidance,F,364.68,Low,1
7548,Radiological supervision and interpretation X-ray of lower spinal canal,F,274.37,Low,1
7551,Aspiration and/or injection of major joint or joint capsule with recording and reporting using ultrasound guidance,F,492.35,Low,1
7552,"Insertion of abdominal cavity catheter extension, beneath the skin",F,346.39,Low,1
7553,"Electronic analysis and programming of implanted simple spinal cord or peripheral neurostimulator generator system during or after surgery, first hour",F,199.77,Low,1
7554,3D radiographic procedure with computerized image postprocessing,F,155.85,Low,1
7556,"Partial removal of membrane at uterine opening, open procedure",F,648.07,Low,1
7560,Placement of internal devices to assist circulation,F,494.5,Low,1
7573,Oncology care model (ocm) monthly enhanced oncology services (meos) payment for  ocm enhanced services.  g9678 payments may only be made to ocm practitioners for ocm beneficiaries for the furnishment of enhanced services as defined in the ocm participation,F,171.91,Low,1
7585,Insertion of rectal or large bowel stent using an endoscope,F,314.93,Low,1
7592,Aspiration and/or injection of small joint or joint capsule with recording and reporting using ultrasound guidance,F,336.16,Low,1
7593,Advance care planning by the physician or other qualified health care professional,F,169.0,Low,1
7598,"Range of motion testing of arm, leg or each spine section",F,159.59,Low,1
7623,"Negative pressure wound therapy, surface area greater than 50 square centimeters, per session",F,170.63,Low,1
7628,"Destruction of malignant growth (0.6 to 1.0 centimeters) of trunk, arms, or legs",F,260.39,Low,1
7629,Insertion of probe for salivary gland duct dilation,F,592.29,Low,1
7656,Pulmonary exercise testing,F,256.78,Low,1
7660,"Measurement of brain wave (EEG) activity, 41-60 minutes",F,251.74,Low,1
7661,Evaluation and recording of swallowing and voice box sensory function using an endoscope,F,500.82,Low,1
7665,"Measurement and recording of brain wave (EEG) activity, cerebral death evaluation",F,162.21,Low,1
7671,Chest ultrasound examination of heart,F,199.08,Low,1
7682,Interpretation and report of congenital heart ultrasound examination using esophageal probe,F,332.18,Low,1
7685,Special stained specimen slides to examine tissue,F,177.55,Low,1
7687,Ultrasound of fetal brain artery,F,153.09,Low,1
7688,Ultrasonic guidance during surgery,F,257.21,Low,1
7694,Closed treatment of dislocated foot joint,F,570.87,Low,1
7705,Change of tube or stent in urinary duct (ureter),F,310.23,Low,1
7712,Post-delivery care,F,367.15,Low,1
7723,Initiation and management of continued pressured respiratory assistance by mask or breathing tube,F,188.44,Low,1
7724,"Radiological supervision and interpretation X-ray of spinal canal, 2 or more spinal regions",F,256.99,Low,1
7729,"Transitional care management services, moderately complexity, requiring face-to-face visits within 14 days of discharge",F,280.62,Low,1
7730,Transcranial magnetic stimulation treatment (stimulates nerve cells in brain to improve symptoms of depression),F,551.58,Low,1
7739,MRI scan of blood vessels of chest,F,396.72,Low,1
7745,Irrigation and drainage of sinus,F,433.81,Low,1
7747,CT scan leg with contrast injection,F,234.99,Low,1
7751,"Electronic analysis and programming of implanted complex spinal cord or peripheral neurostimulator generator system during or after surgery, first hour",F,294.83,Low,1
7754,MRA scan of pelvic blood vessels,F,370.6,Low,1
7757,"Radiological supervision and interpretation of dilation of kidney opening, urinary ducts (ureters) or bladder duct (urethra)",F,219.35,Low,1
7761,Placement of breast localization devices accessed through the skin with ultrasound guidance,F,375.02,Low,1
7762,"Repair of wound (2.5 centimeters or less) of the scalp, underarms, trunk, arms, and/or legs",F,655.81,Low,1
7768,Preparation of donor kidney for transplantation,F,611.74,Low,1
7772,Exchange blood transfusion,F,586.65,Low,1
7774,Stomach emptying study,F,156.7,Low,1
7777,Microscopic genetic examination manual,F,133.0,Low,1
7778,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 11-19 mev",F,414.31,Low,1
7780,MRI scan of abdomen with contrast,F,362.2,Low,1
7781,Fitting of contact lens for treatment of ocular surface disease,F,122.76,Low,1
7784,Mammography of both breasts,F,126.24,Low,1
7797,Placement of temporary pacemaker leads,F,580.01,Low,1
7802,Injection of chemical for destruction of facial and neck nerve muscles on both sides of face,F,496.3,Low,1
7806,Control of anal bleeding using an endoscope,F,454.23,Low,1
7812,Microscopic genetic analysis of tissue,F,249.43,Low,1
7832,"Shaving of 0.5 centimeters or less skin growth of scalp, neck, hands, feet, or genitals",F,127.89,Low,1
7833,MRI scan of middle spinal canal,F,317.15,Low,1
7834,Nuclear medicine study with CT imaging skull base to mid-thigh,F,454.15,Low,1
7836,Aspiration of fluid collection in testicle and sperm reservoir,F,428.9,Low,1
7839,Low dose ct scan (ldct) for lung cancer screening,F,180.65,Low,1
7849,Partial removal of spine bone and growth in spinal column,F,585.72,Low,1
7851,CT scan head or brain before and after contrast,F,256.68,Low,1
7852,"Removal of growth (0.5 centimeters or less) of the trunk, arms or legs",F,491.19,Low,1
7856,"Emergency department visit, problem of high severity",F,654.71,Low,1
7857,Closed treatment of broken toe with manipulation,F,656.86,Low,1
7858,Destruction of 15 or more skin growths,F,234.46,Low,1
7859,Imaging of parathyroid with CT and nuclear medicine study,F,329.06,Low,1
7873,"Emergency department visit, self limited or minor problem",F,125.44,Low,1
7875,Removal of outer layer of cornea,F,497.63,Low,1
7878,Chromosome analysis for genetic defects,F,123.75,Low,1
7889,Special radiation therapy planning,F,160.5,Low,1
7900,Removal of intra-uterine device (IUD) for pregnancy prevention,F,342.15,Low,1
7915,Aspiration and/or injection of thyroid cyst,F,247.95,Low,1
7920,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",F,330.67,Low,1
7926,MRI scan of pelvis,F,286.31,Low,1
7936,Removal of skin debris and drainage of mastoid cavity,F,281.16,Low,1
7943,Physician review interpretation and report of motion analysis during walking or functional activity,F,228.4,Low,1
7951,Partial removal of lung tissue using an endoscope,F,634.36,Low,1
7953,Removal of foreign body from ear canal,F,311.74,Low,1
7958,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth",F,177.3,Low,1
7961,Needle measurement and recording of electrical activity of middle spine muscles,F,187.85,Low,1
7966,MRI scan of abdomen,F,298.57,Low,1
7967,"Transcranial magnetic stimulation treatment (stimulates nerve cells in brain to improve symptoms of depression), per session",F,292.78,Low,1
7970,Imaging of colon using enema,F,311.25,Low,1
7973,Nuclear medicine study with measurement of blood circulation in the lungs and ventilation,F,161.91,Low,1
7981,Injections of upper or middle spine facet joint using imaging guidance,F,591.73,Low,1
7982,"MRI scan bones of the eye, face, and/or neck before and after contrast",F,431.88,Low,1
7987,Injection for X-ray imaging of heart blood vessel defect during congenital heart catheterization,F,379.29,Low,1
7990,"Imaging of brain with blood flow, minimum of 4 static views",F,123.32,Low,1
7998,Instillations of drug into kidney and/or urinary duct (ureter),F,504.32,Low,1
8002,"Dilation of narrowing of bladder canal (urethra), male",F,249.7,Low,1
8005,Biopsy of cervix or excision of local growths,F,402.15,Low,1
8007,CT scan of lower leg blood vessels with contrast,F,330.59,Low,1
8018,Electron microscopy for diagnosis,F,318.65,Low,1
8019,Radiological supervision and interpretation of CT guidance for needle insertion,F,229.4,Low,1
8028,"Removal of blood flow assist device in aorta, accessed through the skin",F,164.75,Low,1
8034,"Neurobehavioral status examination, interpretation, and report by psychologist or physician per hour",F,231.02,Low,1
8037,Dressing change under anesthesia,F,204.06,Low,1
8040,"Initial hospital inpatient care, typically 30 minutes per day",F,245.47,Low,1
8057,Insertion of external tube from vein to vein for dialysis,F,500.41,Low,1
8060,Psychological testing with interpretation and report by computer,F,134.23,Low,1
8064,Antibody evaluation,F,135.81,Low,1
8080,First degree burn treatment,F,224.48,Low,1
8081,Ultrasound of pelvis,F,138.84,Low,1
8083,Hospital observation care discharge,F,178.95,Low,1
8085,Radiological supervision and interpretation of balloon dilation of narrowed vein,F,171.47,Low,1
8092,Abdominal ultrasound of pregnant uterus (greater or equal to 14 weeks 0 days),F,188.83,Low,1
8102,Chromosome analysis for genetic defects,F,223.22,Low,1
8103,Imaging of kidney,F,127.58,Low,1
8104,Drainage of fluid-filled sac (bursa) of foot,F,536.77,Low,1
8105,Hypnotherapy,F,185.99,Low,1
8106,"Established patient office or other outpatient, visit typically 25 minutes",F,196.36,Low,1
8109,"External counterpulsation, per treatment session",F,249.41,Low,1
8117,Incision of burn tissue,F,322.62,Low,1
8121,"Destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals",F,403.95,Low,1
8130,Biopsy of breast accessed through the skin with stereotactic guidance,F,600.22,Low,1
8134,Insertion of needle for infusion into bone,F,334.21,Low,1
8136,Evaluation of speech sound production with evaluation of language comprehension and expression,F,223.33,Low,1
8146,Mechanical separation of white blood cells from the blood,F,428.43,Low,1
8160,Biopsy of tissue of shoulder area,F,586.96,Low,1
8164,Instillations of drug into kidney and/or urinary duct (ureter),F,532.92,Low,1
8166,"Ingestion of test items for allergies, 120 minutes",F,247.5,Low,1
8170,"Initial nursing facility visit, typically 45 minutes per day",F,288.74,Low,1
8201,Pathology examination of tissue during surgery,F,216.92,Low,1
8203,Abdominal ultrasound of pregnant uterus single or first fetus,F,351.61,Low,1
8215,Radiological supervision and interpretation of drawing blood via catheter procedure,F,140.7,Low,1
8221,Nuclear medicine study of blood circulation in the lungs,F,157.26,Low,1
8229,Radiological supervision and interpretation of imaging of arteries of both lungs,F,341.5,Low,1
8230,Ultrasound of fetus,F,144.51,Low,1
8234,"Comprehensive, clinical pathology consultation",F,181.96,Low,1
8238,"Application of skin substitute (wound surface up to 100 sq cm) to face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes",F,126.52,Low,1
8241,"Emergency department visit, moderately severe problem",F,403.29,Low,1
8243,CT scan of lower spine with contrast,F,238.29,Low,1
8251,Functional MRI scan of brain with physician or psychologist administration of neurofunctional testing,F,507.18,Low,1
8252,"Routine foot care by a physician of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include, the local care of superficial wounds (i.e. superficial to muscle and fascia) and at least the following i",F,159.2,Low,1
8253,"Imaging guidance for procedure, up to 1 hour",F,150.38,Low,1
8255,Repositioning of stomach feeding tube,F,363.75,Low,1
8256,Refilling and maintenance by physician of implantable spinal or brain drug delivery pump or reservoir,F,275.72,Low,1
8271,MRI scan of leg,F,265.36,Low,1
8278,Acne surgery,F,199.44,Low,1
8286,Closed treatment of broken great toe with manipulation,F,615.81,Low,1
8294,Study of sleep patterns,F,162.37,Low,1
8296,"Removal of foreign body, external eye, cornea with slit lamp examination",F,244.09,Low,1
8299,Needle biopsy of salivary gland,F,268.57,Low,1
8302,"Tissue marker, implantable, any type, each",F,293.08,Low,1
8303,Insertion of hormone pellets beneath the skin,F,258.32,Low,1
8307,MRA scan of leg blood vessels,F,371.0,Low,1
8311,Digital analysis of electrical brain wave activity (EEG),F,356.36,Low,1
8319,Nuclear medicine study of radioactive material distribution at site of inflammation,F,245.63,Low,1
8330,"X-ray of upper digestive tract, kidneys, urinary ducts (ureters), and bladder",F,129.23,Low,1
8345,Change of breathing tube of windpipe in neck,F,189.57,Low,1
8349,Placement of electrical bone healing device,F,309.37,Low,1
8351,Gene analysis (nucleophosmin) exon 12 variants,F,311.0,Low,1
8353,"Injection of anesthetic agent, thoracic vertebra",F,498.74,Low,1
1,Laser destruction of anal growths,F,1082.08,Moderate-Low,2
9,Removal of growth of roof of mouth,F,1099.77,Moderate-Low,2
10,Closed treatment of broken forearm bone at elbow with manipulation,F,1556.04,Moderate-Low,2
14,Closed treatment of collar bone fracture,F,913.51,Moderate-Low,2
17,Computer-assisted image-guided navigation of lung airways using an endoscope,F,1344.42,Moderate-Low,2
18,"Removal and microscopic examination of growth of the trunk, arms, or legs",F,786.86,Moderate-Low,2
19,Insertion of catheter for imaging of heart blood vessels or grafts,F,1219.57,Moderate-Low,2
28,Insertion of prosthetic graft in upper thigh artery,F,780.15,Moderate-Low,2
33,"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)",F,1278.65,Moderate-Low,2
34,Anesthesia for repair of elbow to shoulder tendon,F,1406.31,Moderate-Low,2
44,Removal and replacement of stent in kidney and urinary duct (ureter) using fluoroscopic guidance including radiological supervision and interpretation,F,920.95,Moderate-Low,2
47,Removal of foreign bodies in esophagus using an endoscope,F,747.46,Moderate-Low,2
51,Destruction of multiple penile growths,F,1182.23,Moderate-Low,2
55,Tying of major artery of arm or leg,F,1207.89,Moderate-Low,2
59,Open treatment of broken and/or dislocated spine bones,F,1132.45,Moderate-Low,2
60,Multiple punctures of cornea,F,818.49,Moderate-Low,2
63,Suture of hand or foot nerve,F,1169.28,Moderate-Low,2
66,Relocation of patient skin to trunk,F,837.01,Moderate-Low,2
74,"Repair of wound (7.6 to 12.5 centimeters) of neck, hands, feet, and/or genitals",F,1010.01,Moderate-Low,2
77,Drainage of extensive lymph node abscess or inflammation,F,1277.67,Moderate-Low,2
79,"Removal of blood clot from dialysis graft, open procedure",F,1402.79,Moderate-Low,2
83,Biopsy of growths in one lung using an endoscope,F,1264.42,Moderate-Low,2
87,Tissue transfer repair of wound (30.0 sq centimeters),F,958.26,Moderate-Low,2
89,"Partial removal of membrane at uterine opening, open procedure",F,793.49,Moderate-Low,2
90,Anesthesia for tying or incision of fallopian tubes using an endoscope,F,1131.19,Moderate-Low,2
91,Treatment of windpipe cartilage fracture or dilation of windpipe cartilage using an endoscope,F,903.85,Moderate-Low,2
94,"Removal of malignant growth (1.1 to 2.0 centimeters) of the scalp, neck, hands, feet, or genitals",F,759.03,Moderate-Low,2
95,Implantation of neurostimulator electrodes in brain,F,1334.72,Moderate-Low,2
98,Closed treatment of broken finger or thumb,F,721.43,Moderate-Low,2
99,"Removal of malignant growth (over 4.0 centimeters) of the scalp, neck, hands, feet, or genitals",F,1467.16,Moderate-Low,2
104,Tying and incision leg vein,F,1267.96,Moderate-Low,2
111,"Destruction of growths on esophagus, stomach, and/or upper small bowel using an endoscope",F,1395.54,Moderate-Low,2
113,Insertion of stent in urinary duct (ureter) using an endoscope,F,1537.9,Moderate-Low,2
118,Destruction of lens tissue,F,1472.63,Moderate-Low,2
120,Closure of permanent windpipe opening or abnormal drainage tract,F,1270.19,Moderate-Low,2
130,Removal of esophageal polyps or growths using an endoscope,F,1461.46,Moderate-Low,2
132,"Radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 11-19 mev",F,786.36,Moderate-Low,2
140,Exploration of upper thigh artery,F,1462.44,Moderate-Low,2
141,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",F,988.83,Moderate-Low,2
142,Biopsy of abdomen using an endoscope,F,1296.92,Moderate-Low,2
143,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",F,1180.29,Moderate-Low,2
161,Realignment of eye having prior surgery or injury,F,1245.8,Moderate-Low,2
174,"Anesthesia for knee joint cast application, removal, or repair",F,951.79,Moderate-Low,2
177,Removal of defibrillator electrode,F,1170.0,Moderate-Low,2
205,"Injection of anesthetic agent, sympathetic nerve bundle",F,1266.49,Moderate-Low,2
211,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals",F,799.17,Moderate-Low,2
216,Anesthesia for incomplete or missed abortion,F,768.76,Moderate-Low,2
224,Examination of bladder and bladder canal (urethra) for treatment of female urethral syndrome using an endoscope,F,1266.16,Moderate-Low,2
227,"Removal of skull bone graft, accessed beneath the skin",F,700.37,Moderate-Low,2
228,Insertion of catheter into left heart for diagnosis,F,1104.03,Moderate-Low,2
231,Tying or incision fallopian tubes,F,1364.46,Moderate-Low,2
232,Biopsy of extensive area of vaginal mucous membrane,F,665.01,Moderate-Low,2
239,Closed treatment of upper arm fracture,F,1144.85,Moderate-Low,2
240,Closed treatment of fracture and/or dislocation of pelvis and/or sacrum,F,742.57,Moderate-Low,2
246,Closed treatment of broken nasal bone,F,1024.77,Moderate-Low,2
249,Incision and drainage of bladder abscess,F,938.32,Moderate-Low,2
255,Removal of soft tissue at roof of mouth,F,1017.13,Moderate-Low,2
256,Exploration of sperm reservoir,F,1496.42,Moderate-Low,2
259,"Removal of infected skin, tissue or muscle of genitals",F,1520.69,Moderate-Low,2
265,Insertion of defibrillator electrode,F,1413.88,Moderate-Low,2
267,Attempt to restart heart and lungs,F,916.68,Moderate-Low,2
268,Incisional removal of eyelashes,F,1279.68,Moderate-Low,2
271,"Anesthesia for open procedure on bones of lower leg, ankle and foot",F,1055.49,Moderate-Low,2
273,"Repair of wound (20.1 to 30.0 centimeters) of the scalp, underarms, trunk, arms, and/or legs",F,1390.15,Moderate-Low,2
274,Closed treatment of broken forearm bones,F,1031.65,Moderate-Low,2
279,Removal of remaining cervix,F,1193.31,Moderate-Low,2
281,"Anesthesia for procedure on esophagus and neck, age 1 year or older",F,1504.98,Moderate-Low,2
287,"Injection of anesthetic agent, upper spine (phrenic) nerve",F,963.24,Moderate-Low,2
288,"Application of skin substitute (wound surface greater or equal to 100 sq cm) to trunk, arms, or legs (first 100 sq cm or 1% body area of infants and children)",F,1060.59,Moderate-Low,2
303,Treatment of kidney stricture using an endoscope,F,1202.26,Moderate-Low,2
306,Daily management of external vein to artery blood circulation in heart and lungs using a pump,F,981.92,Moderate-Low,2
311,Measurement and recording of electrical brain wave activity (EEG) in a specific area of the brain,F,871.26,Moderate-Low,2
314,Incision and drainage of eyelid abscess,F,889.49,Moderate-Low,2
315,Placement of stent in small bowel using an endoscope which is inserted through abdominal opening,F,1105.96,Moderate-Low,2
325,Insertion of pacemaker pulse generator with existing dual leads,F,1285.35,Moderate-Low,2
327,"Removal of middle, lower, or sacral spine bone with release of spinal cord or nerves, transperitoneal or retroperitoneal approach",F,1455.52,Moderate-Low,2
334,Removal of foreign body of foot tissue,F,1495.19,Moderate-Low,2
337,Removal of skin and tissue beneath the skin of underarms for excessive sweating,F,1415.1,Moderate-Low,2
342,Anesthesia for procedure on veins of upper arm and elbow,F,1325.58,Moderate-Low,2
343,Insertion of catheter in left heart for imaging of blood vessels or grafts and left lower heart,F,1403.97,Moderate-Low,2
345,Manipulation of ankle under general anesthesia,F,819.39,Moderate-Low,2
348,Anesthesia for closed procedure on lower one-third of thigh bone,F,1298.47,Moderate-Low,2
353,Aspiration of lung secretions from lung airways using an endoscope,F,660.76,Moderate-Low,2
354,Drainage of infected fluid-filled sac (bursa) of forearm and/or wrist,F,1165.55,Moderate-Low,2
362,Incision to implant muscle neurostimulator electrodes,F,1497.41,Moderate-Low,2
363,Insertion of pacemaker pulse generator with existing dual leads,F,1318.55,Moderate-Low,2
364,"Assessment of air leak, airway sizing, and insertion of bronchial valves in lung airways using an endoscope",F,725.95,Moderate-Low,2
382,Incision of toe joint capsule,F,1564.61,Moderate-Low,2
390,Anesthesia for open or endoscopic procedure on elbow,F,1546.52,Moderate-Low,2
395,Incision and drainage of soft tissue abscess,F,864.53,Moderate-Low,2
401,"Repair of wound (12.6 to 20.0 centimeters) of neck, hands, feet, and/or genitals",F,1222.87,Moderate-Low,2
403,"Removal of malignant growth (3.1 to 4.0 centimeters) of the face, ears, eyelids, nose, or lips",F,1250.19,Moderate-Low,2
415,Biopsy of lung lining using an endoscope,F,976.54,Moderate-Low,2
437,"Incision of Achilles tendon, accessed through the skin requiring general anesthesia",F,1362.51,Moderate-Low,2
439,Radiological supervision and interpretation of placement of blood vessel prosthesis procedure,F,743.92,Moderate-Low,2
441,Placement of breast localization devices accessed through the skin with MRI guidance,F,770.29,Moderate-Low,2
452,Injection of agent to paralyze anal muscle,F,1196.12,Moderate-Low,2
454,Biopsy of one lobe of lung using an endoscope,F,864.48,Moderate-Low,2
456,Biopsy of breast accessed through the skin with stereotactic guidance,F,1061.67,Moderate-Low,2
466,Anesthesia for liver biopsy (accessed through the skin),F,1073.21,Moderate-Low,2
476,Anesthesia for procedure on urinary system including use of an endoscope,F,783.43,Moderate-Low,2
479,Anesthesia for procedure on nose and sinus,F,1320.09,Moderate-Low,2
480,Repair of separation of wound closure,F,767.29,Moderate-Low,2
489,Insertion of catheter into chest aorta for diagnosis or treatment including radiological supervision and interpretation,F,1445.97,Moderate-Low,2
490,Removal of growth of dental bone with repair,F,1095.71,Moderate-Low,2
508,Harvest of upper arm vein segment for leg or heart artery bypass,F,972.21,Moderate-Low,2
514,Insertion of wire and dilation of esophagus using an endoscope,F,1010.44,Moderate-Low,2
517,Biopsy of wrist bone,F,1018.71,Moderate-Low,2
518,Release of nerve requiring use of operating microscope,F,1363.99,Moderate-Low,2
520,Dilation of the voice box using an endoscope,F,816.43,Moderate-Low,2
521,Removal of growth of tongue,F,1405.98,Moderate-Low,2
525,Removal of abdominal cavity catheter,F,1226.44,Moderate-Low,2
531,"Injection or mechanical removal of spinal canal scar tissue, percutaneous procedure, accessed through the skin, multiple sessions in 1 day",F,1560.53,Moderate-Low,2
534,Anesthesia for procedure on male genitalia glands,F,1479.93,Moderate-Low,2
535,Temporary closure of eyelids by suture,F,1043.95,Moderate-Low,2
536,Removal of multiple growths of same eyelid,F,749.58,Moderate-Low,2
538,Biopsy of fluid collection in one lung using an endoscope,F,1028.22,Moderate-Low,2
543,Drainage of abscess or blood accumulation at upper arm or elbow,F,1006.07,Moderate-Low,2
553,Closed treatment of ankle dislocation under anesthesia,F,1489.12,Moderate-Low,2
557,Radiological supervision and interpretation of repair of artery of abdomen procedure,F,770.75,Moderate-Low,2
558,Incision and drainage of bladder abscess,F,964.36,Moderate-Low,2
560,Reoperation of heart artery bypass or valve procedure more than 1 month after original operation,F,1532.32,Moderate-Low,2
561,"Preventive retinal detachment treatment by heat or freezing, 1 or more sessions",F,1496.82,Moderate-Low,2
562,Balloon dilation of large bowel using an endoscope,F,1470.19,Moderate-Low,2
566,Removal of rectal muscle growth,F,1322.88,Moderate-Low,2
568,Insertion of needle or catheter into the carotid (neck) or vertebral (brain) artery,F,709.01,Moderate-Low,2
570,"Removal of growth (2.1 to 3.0 centimeters) of the scalp, neck, hands, feet, or genitals",F,916.97,Moderate-Low,2
573,Removal or destruction of throat growth,F,1211.01,Moderate-Low,2
583,Revision of abdominal cavity catheter using an endoscope,F,1420.38,Moderate-Low,2
585,Computer-assisted spinal procedure,F,992.09,Moderate-Low,2
587,Removal of foot bone,F,1491.48,Moderate-Low,2
589,Snip incision of tear duct opening,F,1188.27,Moderate-Low,2
593,"Dilation of narrowing of bladder canal (urethra) under general or spinal anesthesia, male",F,809.84,Moderate-Low,2
597,Biopsy of abdomen using an endoscope,F,1295.06,Moderate-Low,2
604,Injection of anesthetic agent of multiple rib nerves,F,1013.56,Moderate-Low,2
607,Closed treatment of broken ankle,F,1035.0,Moderate-Low,2
610,Insertion of abdominal cavity catheter using an endoscope,F,1359.74,Moderate-Low,2
612,Insertion of capsules into uterus for placement of radiation therapy,F,1414.54,Moderate-Low,2
627,Closed treatment of dislocated finger joint with manipulation,F,1122.1,Moderate-Low,2
629,Exploration of lower leg artery,F,1563.21,Moderate-Low,2
636,"Home dialysis services per month, patient 12-19 years of age",F,1456.28,Moderate-Low,2
640,Destruction of soft tissue of nasal passages,F,983.59,Moderate-Low,2
652,Closed treatment of broken ankle joint bone,F,838.31,Moderate-Low,2
662,Incisional removal of eyelashes,F,1380.59,Moderate-Low,2
664,Anesthesia for procedure on upper front abdominal wall,F,1181.3,Moderate-Low,2
665,Tying or banding of a passage between an artery and vein,F,1299.46,Moderate-Low,2
668,Removal of foreskin of using clamp or device,F,1285.33,Moderate-Low,2
671,Control of bleeding of throat requiring hospitalization,F,1080.63,Moderate-Low,2
679,Anesthesia for repair of undescended testicle,F,1296.34,Moderate-Low,2
680,Repair of protrusion of intestine into rectum or vagina,F,1453.6,Moderate-Low,2
684,Anesthesia for examination of cervix using an endoscope,F,1190.35,Moderate-Low,2
691,"Management of radiation therapy, complex",F,733.39,Moderate-Low,2
695,Insertion of catheter into an artery of a lobe of the lung,F,1431.47,Moderate-Low,2
699,Anesthesia for removal of testicle through abdomen,F,1241.09,Moderate-Low,2
702,Destruction of growth or soft tissue at roof of mouth,F,1000.99,Moderate-Low,2
703,Harvest of bone fragments for spine surgery graft,F,745.69,Moderate-Low,2
705,Control of esophageal bleeding,F,676.49,Moderate-Low,2
706,Bone graft harvest,F,1483.49,Moderate-Low,2
709,Insertion of brain fluid shunt catheter using an endoscope,F,1444.17,Moderate-Low,2
710,Computer-assisted surgical navigational procedure for bone procedures,F,721.24,Moderate-Low,2
711,Laser release of scar tissue between the lens and retina,F,1071.98,Moderate-Low,2
713,Anesthesia for procedure on upper rear abdominal wall,F,1075.91,Moderate-Low,2
720,"Injection of anesthetic agent, thigh nerve",F,801.93,Moderate-Low,2
728,Closed treatment of thumb dislocation with manipulation,F,1318.42,Moderate-Low,2
737,Preparation of donor kidney for transplantation,F,794.94,Moderate-Low,2
751,Release of multiple foot tendons,F,1423.17,Moderate-Low,2
752,Examination of small bowel using an endoscope,F,781.73,Moderate-Low,2
753,Closed treatment of broken upper arm bone at shoulder,F,1125.44,Moderate-Low,2
755,Removal of eyelid growth,F,1026.13,Moderate-Low,2
756,Removal of abnormal drainage of breast duct,F,1475.03,Moderate-Low,2
757,Insertion of needle and/or catheter for dialysis,F,1029.66,Moderate-Low,2
762,Insertion of catheter into artery on one side of neck for diagnosis or treatment including radiological supervision and interpretation,F,931.91,Moderate-Low,2
765,Thermal repair of lung airways using an endoscope,F,1112.65,Moderate-Low,2
769,"Biopsy of gallbladder, pancreatic, liver, and bile ducts using an endoscope",F,1189.81,Moderate-Low,2
770,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",F,977.1,Moderate-Low,2
771,"Fusion of lower spine bones with removal of disc, posterior approach",F,1291.09,Moderate-Low,2
777,Insertion of small bowel stent using an endoscope,F,1055.84,Moderate-Low,2
782,Insertion of catheter into vein,F,1386.0,Moderate-Low,2
796,Ultrasound guided needle aspiration or biopsy of large bowel using an endoscope,F,807.22,Moderate-Low,2
806,Closed treatment of broken spine bones with casting or bracing,F,1165.16,Moderate-Low,2
825,Biopsy of tissue of forearm and/or wrist,F,797.16,Moderate-Low,2
827,Insertion of roof of mouth prosthesis,F,691.61,Moderate-Low,2
842,Anatomic repositioning of uterus,F,1460.89,Moderate-Low,2
859,Destruction of anal polyps or growths using an endoscope,F,975.83,Moderate-Low,2
861,Drainage of prostate abscess through bladder canal (urethra),F,1360.76,Moderate-Low,2
863,Drainage of infected fluid-filled sac (bursa) of shoulder joint,F,1186.28,Moderate-Low,2
870,"Management of radiation therapy, 3D",F,956.72,Moderate-Low,2
872,Harvest of bone for spine surgery graft,F,899.75,Moderate-Low,2
884,Heat delivery to muscle at esophagus and/or stomach to treat gastric reflux using an endoscope,F,1058.36,Moderate-Low,2
890,"Insertion of a temporary bladder canal (urethra) stent, male, using an endoscope",F,1216.97,Moderate-Low,2
892,Treatment of broken foot bone,F,820.38,Moderate-Low,2
893,Revision of permanent opening of windpipe for breathing,F,1316.55,Moderate-Low,2
897,Removal of growth of tissue of mouth,F,794.84,Moderate-Low,2
902,Excisional destruction of anal growths,F,1145.66,Moderate-Low,2
903,Closed treatment of dislocated foot joint under anesthesia,F,887.78,Moderate-Low,2
906,Biopsy of voice box using an endoscope,F,1193.32,Moderate-Low,2
908,Closed treatment of collar bone broken with manipulation,F,1320.16,Moderate-Low,2
911,Dilation of the bladder using an endoscope under general or spinal anesthesia,F,1424.34,Moderate-Low,2
914,Treatment of elbow dislocation,F,1286.6,Moderate-Low,2
915,Injection procedure for X-ray imaging of hip under anesthesia,F,742.48,Moderate-Low,2
916,Revision or removal of peripheral nerve or gastric neurostimulator generator,F,1497.94,Moderate-Low,2
918,Closed treatment of broken forearm bone at elbow,F,972.94,Moderate-Low,2
923,Biopsy of sacroiliac joint,F,1014.34,Moderate-Low,2
932,Anesthesia for biopsy of collar bone,F,717.78,Moderate-Low,2
