HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Place of Service,Number of Providers,Number of Services,Number of Unique Beneficiary/Provider Interactions,Number of Distinct Medicare Beneficiary/Per Day Services,Average Submitted Charge Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Standardized Payment Amount
16030,Dressing change and/or removal of burn tissue (greater than 10% total body surface),N,O,112,220,160,220,377.72,168.66,127.58,138.29
16035,Incision of burn tissue,N,F,140,224,209,224,610.77,182.87,141.98,140.27
16035,Incision of burn tissue,N,O,48,212,177,212,331.98,187.82,144.59,141.58
16036,Incision of burn tissue,N,F,71,376,93,99,335.66,82.74,64.46,65.66
16036,Incision of burn tissue,N,O,7,276,94,101,150.30,88.72,69.19,66.32
17000,Destruction of skin growth,N,F,3263,90088,71946,90083,149.50,48.09,33.41,33.87
17000,Destruction of skin growth,N,O,56257,5705772,4102913,5705681,128.04,52.78,36.80,37.57
17003,Destruction of 2-14 skin growths,N,F,2442,246979,51213,63418,21.64,2.41,1.72,1.77
17003,Destruction of 2-14 skin growths,N,O,42179,18337904,3044671,4125499,20.71,5.47,3.99,4.07
17004,Destruction of 15 or more skin growths,N,F,675,9439,6737,9438,348.99,101.13,72.54,73.16
17004,Destruction of 15 or more skin growths,N,O,16684,862184,593499,862071,308.34,148.58,106.86,107.89
17106,Destruction of skin growth (less than 10 sq centimeters),N,F,116,229,167,229,902.82,251.65,190.47,196.36
17106,Destruction of skin growth (less than 10 sq centimeters),N,O,611,3039,1869,3039,610.36,331.78,250.26,257.33
17107,Destruction of skin growth (10.0 to 50.0 sq centimeters),N,F,55,165,101,165,1476.18,337.08,251.44,254.88
17107,Destruction of skin growth (10.0 to 50.0 sq centimeters),N,O,183,1083,626,1083,930.64,430.60,325.54,328.28
17108,Destruction of skin growth (over 50.0 sq centimeters),N,F,82,438,241,438,2259.21,495.63,381.55,386.28
17108,Destruction of skin growth (over 50.0 sq centimeters),N,O,167,4092,1705,4092,1139.11,638.59,485.37,499.99
17110,Destruction of up to 14 skin growths,N,F,3348,33252,28862,33250,200.82,66.26,46.02,46.96
17110,Destruction of up to 14 skin growths,N,O,55950,2201439,1711584,2201365,185.81,104.66,73.98,75.42
17111,Destruction of 15 or more skin growths,N,F,358,929,786,928,234.46,79.13,55.58,57.57
17111,Destruction of 15 or more skin growths,N,O,10040,111369,80542,111336,227.29,126.52,91.06,91.39
17250,Application of chemical agent to excessive wound tissue,N,F,4995,70204,30525,65455,153.30,31.37,23.71,23.72
17250,Application of chemical agent to excessive wound tissue,N,O,8725,114707,46315,109289,163.51,66.10,49.65,49.39
17260,"Destruction of malignant growth (0.5 centimeters or less) of trunk, arms, or legs",N,F,167,706,368,395,158.44,47.21,35.31,35.12
17260,"Destruction of malignant growth (0.5 centimeters or less) of trunk, arms, or legs",N,O,4983,21660,18312,19336,176.93,70.50,52.20,52.53
17261,"Destruction of malignant growth (0.6 to 1.0 centimeters) of trunk, arms, or legs",N,F,447,3372,2504,2698,260.39,70.12,51.68,51.33
17261,"Destruction of malignant growth (0.6 to 1.0 centimeters) of trunk, arms, or legs",N,O,9964,130825,108928,117657,241.22,117.89,87.43,88.27
17262,"Destruction of malignant growth (1.1 to 2.0 centimeters) of trunk, arms, or legs",N,F,539,5525,4092,4411,316.92,91.07,67.74,67.11
17262,"Destruction of malignant growth (1.1 to 2.0 centimeters) of trunk, arms, or legs",N,O,12405,265089,212128,234784,294.06,151.26,112.87,113.21
17263,"Destruction of malignant growth (2.1 to 3.0 centimeters) of trunk, arms, or legs",N,F,268,888,763,811,344.31,106.98,81.01,80.49
17263,"Destruction of malignant growth (2.1 to 3.0 centimeters) of trunk, arms, or legs",N,O,8031,46905,41635,44368,327.76,173.76,130.01,130.51
17264,"Destruction of malignant growth (3.1 to 4.0 centimeters) of trunk, arms, or legs",N,F,81,132,122,127,431.00,113.83,87.48,87.25
17264,"Destruction of malignant growth (3.1 to 4.0 centimeters) of trunk, arms, or legs",N,O,3008,6803,6301,6609,358.75,187.03,139.90,141.32
17266,"Destruction of malignant growth (over 4.0 centimeters) of trunk, arms, or legs",N,F,43,57,52,52,573.60,132.25,101.40,103.63
17266,"Destruction of malignant growth (over 4.0 centimeters) of trunk, arms, or legs",N,O,1148,2001,1821,1962,417.77,214.41,161.03,164.26
17270,"Destruction of malignant growth (0.5 centimeters) of scalp, neck, hands, feet, or genitals",N,F,89,497,287,316,218.64,62.95,47.04,48.18
17270,"Destruction of malignant growth (0.5 centimeters) of scalp, neck, hands, feet, or genitals",N,O,3234,10353,9112,9553,246.25,126.76,94.06,95.41
17271,"Destruction of malignant growth (0.6 to 1.0 centimeters) of scalp, neck, hands, feet, or genitals",N,F,251,1927,1193,1339,280.80,73.30,55.23,55.91
17271,"Destruction of malignant growth (0.6 to 1.0 centimeters) of scalp, neck, hands, feet, or genitals",N,O,7092,51132,45236,47993,264.71,135.66,100.80,103.14
17272,"Destruction of malignant growth (1.1 to 2.0 centimeters) of scalp, neck, hands, feet, or genitals",N,F,296,2006,1378,1539,318.28,92.30,68.67,69.56
17272,"Destruction of malignant growth (1.1 to 2.0 centimeters) of scalp, neck, hands, feet, or genitals",N,O,8737,79303,68413,73841,304.52,163.25,121.77,123.91
17273,"Destruction of malignant growth (2.1 to 3.0 centimeters) of scalp, neck, hands, feet, or genitals",N,F,131,370,292,338,303.88,116.20,88.07,88.23
17273,"Destruction of malignant growth (2.1 to 3.0 centimeters) of scalp, neck, hands, feet, or genitals",N,O,4228,14382,13093,13871,345.16,191.88,143.58,145.95
17274,"Destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals",N,F,37,73,61,67,397.54,122.67,95.04,98.24
17274,"Destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals",N,O,1295,2459,2269,2397,415.06,228.26,172.91,176.12
17276,"Destruction of malignant growth (over 4.0 centimeters) of scalp, neck, hands, feet, or genitals",N,F,35,48,41,44,609.72,150.61,110.23,112.42
17276,"Destruction of malignant growth (over 4.0 centimeters) of scalp, neck, hands, feet, or genitals",N,O,551,931,811,915,488.96,266.94,201.13,206.56
17280,"Destruction of malignant growth (0.5 centimeters or less) of face, ears, eyelids, nose, lips, or mouth",N,F,210,1341,845,959,193.24,59.75,44.71,45.97
17280,"Destruction of malignant growth (0.5 centimeters or less) of face, ears, eyelids, nose, lips, or mouth",N,O,5051,29267,25496,27149,234.93,115.69,84.72,87.30
17281,"Destruction of malignant growth (0.6 to 1.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,F,325,3669,1950,2316,237.93,82.29,62.07,63.57
17281,"Destruction of malignant growth (0.6 to 1.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,O,7648,91459,78186,84624,292.44,155.39,115.04,118.08
17282,"Destruction of malignant growth (1.1 to 2.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,F,278,2637,1661,1905,248.42,106.84,80.11,81.13
17282,"Destruction of malignant growth (1.1 to 2.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,O,7729,86893,72651,80008,338.12,185.62,138.34,140.70
17283,"Destruction of malignant growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,F,110,375,284,355,436.99,148.42,113.43,111.96
17283,"Destruction of malignant growth (2.1 to 3.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,O,3299,13051,11744,12581,402.48,230.14,173.38,176.66
17284,"Destruction of malignant growth (3.1 to 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,F,30,61,50,53,402.73,151.85,112.24,111.45
17284,"Destruction of malignant growth (3.1 to 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,O,932,2336,2099,2293,470.39,261.33,197.34,201.76
17286,"Destruction of malignant growth (over 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,F,29,43,37,41,802.18,200.23,156.26,164.52
17286,"Destruction of malignant growth (over 4.0 centimeters) of face, ears, eyelids, nose, lips, or mouth",N,O,389,861,707,844,607.49,347.55,262.19,266.66
17311,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals (first stage, up to 5 tissue blocks)",N,F,253,40816,31380,36365,1320.31,305.48,234.46,230.68
17311,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals (first stage, up to 5 tissue blocks)",N,O,2742,714055,551001,667761,1244.47,567.42,436.45,432.85
17312,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals",N,F,204,19693,12805,14000,799.17,207.70,161.81,163.68
17312,"Removal and microscopic examination of growth of the head, neck, hands, feet, or genitals",N,O,2629,471247,288120,329648,742.70,392.59,305.69,306.97
17313,"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)",N,F,181,5682,4424,5025,1278.65,282.23,216.86,214.19
17313,"Removal and microscopic examination of growth of the trunk, arms, or legs (first stage, up to 5 tissue blocks)",N,O,2343,114772,92353,108236,1168.54,568.64,438.38,429.98
17314,"Removal and microscopic examination of growth of the trunk, arms, or legs",N,F,140,1500,1134,1224,786.86,195.71,152.63,151.78
17314,"Removal and microscopic examination of growth of the trunk, arms, or legs",N,O,2100,52344,36173,41026,689.00,387.17,301.52,295.91
17315,"Removal and microscopic examination of growth of the trunk, arms, or legs",N,F,94,1968,532,550,175.36,55.57,43.42,43.30
17315,"Removal and microscopic examination of growth of the trunk, arms, or legs",N,O,991,18809,6717,7168,170.05,79.70,62.23,63.09
17340,Chemical treatment of acne,N,F,21,27,24,27,120.85,43.36,31.60,32.01
17340,Chemical treatment of acne,N,O,699,2388,1643,2388,93.30,42.33,29.27,29.71
17360,Chemical treatment of acne,N,O,85,1806,577,1806,247.77,125.71,92.97,95.07
17999,"Skin, mucus membrane and beneath the skin procedure",N,F,356,638,544,572,1600.29,269.69,209.85,211.50
17999,"Skin, mucus membrane and beneath the skin procedure",N,O,53,86,58,74,897.76,203.00,157.57,158.32
19000,Aspiration of breast cyst,N,F,2740,5637,5510,5588,206.38,41.38,30.72,30.87
19000,Aspiration of breast cyst,N,O,2294,5134,4646,5086,288.84,100.37,73.60,75.25
19001,Puncture aspiration of breast cyst,N,F,391,572,478,481,96.19,22.88,17.33,17.22
19001,Puncture aspiration of breast cyst,N,O,296,464,351,366,93.62,27.04,20.58,20.98
19020,Drainage of breast abscess,N,F,1293,1538,1479,1528,1367.92,285.32,219.45,221.38
19020,Drainage of breast abscess,N,O,278,388,367,382,1220.12,443.90,336.50,336.01
19030,Injection for X-ray imaging of breast duct,N,F,346,437,422,437,316.62,72.92,55.54,55.43
19030,Injection for X-ray imaging of breast duct,N,O,123,152,147,152,422.78,136.16,102.88,103.93
19081,Biopsy of breast accessed through the skin with stereotactic guidance,N,F,6252,38531,38249,38514,1061.67,179.38,135.39,137.20
19081,Biopsy of breast accessed through the skin with stereotactic guidance,N,O,2525,17968,17830,17965,1815.56,590.71,451.97,452.12
19082,Biopsy of breast accessed through the skin with stereotactic guidance,N,F,1639,2777,2630,2639,600.22,88.86,68.96,69.01
19082,Biopsy of breast accessed through the skin with stereotactic guidance,N,O,725,1272,1204,1210,1429.10,476.57,367.75,369.42
19083,Biopsy of breast accessed through the skin with ultrasound guidance,N,F,7614,67704,67005,67663,991.57,165.47,125.62,126.89
19083,Biopsy of breast accessed through the skin with ultrasound guidance,N,O,4546,42977,42441,42969,1708.79,592.90,455.84,456.87
19084,Biopsy of breast accessed through the skin with ultrasound guidance,N,F,3367,8522,7585,7635,565.22,82.44,64.04,64.32
19084,Biopsy of breast accessed through the skin with ultrasound guidance,N,O,1960,5227,4694,4707,1324.54,464.26,359.23,361.01
19085,Biopsy of breast accessed through the skin with MRI guidance,N,F,1147,2338,2306,2337,1147.18,195.82,150.25,149.02
19085,Biopsy of breast accessed through the skin with MRI guidance,N,O,782,2147,2123,2146,2885.98,890.21,689.01,667.13
19086,Biopsy of breast accessed through the skin with MRI guidance,N,F,309,482,423,425,642.81,97.80,75.90,74.98
19086,Biopsy of breast accessed through the skin with MRI guidance,N,O,256,440,402,405,2180.14,723.41,556.93,544.88
19100,Needle biopsy of breast,N,F,676,964,886,889,412.81,70.00,52.84,52.72
19100,Needle biopsy of breast,N,O,1137,2055,1967,1987,379.86,141.37,105.64,109.04
19101,"Biopsy of breast, open procedure",N,F,987,1267,1221,1229,1180.78,244.42,187.38,191.58
19101,"Biopsy of breast, open procedure",N,O,478,697,675,682,860.11,329.03,251.28,251.92
19105,Freezing of breast growth using ultrasound guidance,N,F,6,14,12,13,1190.64,202.23,158.55,151.02
19105,Freezing of breast growth using ultrasound guidance,N,O,9,34,31,33,4990.23,2085.96,1601.09,1656.04
19110,Exploration of breast nipple,N,F,648,906,899,904,1618.37,398.41,305.22,308.95
19110,Exploration of breast nipple,N,O,37,42,42,42,1192.40,356.45,277.43,296.12
19112,Removal of abnormal drainage of breast duct,N,F,66,76,72,76,1475.03,383.37,298.35,303.39
19120,"Removal of 1 or more breast growth, open procedure",N,F,5132,11241,11052,11192,1828.39,476.78,366.08,378.98
19120,"Removal of 1 or more breast growth, open procedure",N,O,898,1250,1236,1250,1244.48,476.27,361.33,374.79
19125,"Removal of breast growth, open procedure",N,F,4656,17193,17075,17164,1800.86,495.12,381.30,384.29
19125,"Removal of breast growth, open procedure",N,O,231,602,601,602,1595.10,464.91,361.34,356.84
19126,"Removal of growth of chest wall and ribs, open procedure",N,F,643,947,873,874,574.01,169.07,131.69,131.84
19126,"Removal of growth of chest wall and ribs, open procedure",N,O,31,37,36,36,664.02,170.72,133.56,131.68
19260,Removal of growth of chest wall and ribs,N,F,387,472,463,468,3334.97,884.53,689.31,668.50
19271,Removal of growth of chest wall and ribs,N,F,192,221,217,219,5153.09,1271.21,984.36,935.84
19272,Removal of growth and lymph nodes of chest wall and ribs,N,F,82,86,86,86,4877.70,1358.24,1059.20,1014.41
19281,Placement of breast localization devices accessed through the skin with mammographic guidance,N,F,6064,25712,25608,25709,459.87,104.86,80.26,59.86
19281,Placement of breast localization devices accessed through the skin with mammographic guidance,N,O,1185,5065,5050,5065,702.94,191.97,146.36,115.52
19282,Placement of breast localization devices accessed through the skin with mammographic guidance,N,F,1365,2363,2162,2167,272.77,53.87,41.83,41.17
19282,Placement of breast localization devices accessed through the skin with mammographic guidance,N,O,331,610,536,536,493.70,122.59,95.33,93.81
19283,Placement of breast localization devices accessed through the skin with stereotactic guidance,N,F,880,2790,2777,2789,498.81,96.46,73.48,57.04
19283,Placement of breast localization devices accessed through the skin with stereotactic guidance,N,O,232,803,803,803,844.99,244.85,186.09,151.14
19284,Placement of breast localization devices accessed through the skin with stereotactic guidance,N,F,155,282,243,243,237.90,54.46,41.46,41.54
19284,Placement of breast localization devices accessed through the skin with stereotactic guidance,N,O,65,113,95,95,562.86,198.76,155.53,152.20
19285,Placement of breast localization devices accessed through the skin with ultrasound guidance,N,F,4737,17909,17837,17901,576.32,81.19,62.23,49.51
19285,Placement of breast localization devices accessed through the skin with ultrasound guidance,N,O,1192,4435,4422,4435,1083.31,365.98,281.52,250.05
19286,Placement of breast localization devices accessed through the skin with ultrasound guidance,N,F,843,1233,1141,1142,375.02,45.50,35.14,35.28
19286,Placement of breast localization devices accessed through the skin with ultrasound guidance,N,O,219,341,307,307,936.15,331.01,256.33,256.23
19287,Placement of breast localization devices accessed through the skin with MRI guidance,N,F,122,168,167,168,770.29,132.77,102.40,75.74
19287,Placement of breast localization devices accessed through the skin with MRI guidance,N,O,82,106,106,106,2178.10,772.57,603.91,566.35
19288,Placement of breast localization devices accessed through the skin with MRI guidance,N,F,31,44,37,37,452.48,69.09,53.39,51.89
19288,Placement of breast localization devices accessed through the skin with MRI guidance,N,O,25,28,27,27,1678.25,621.50,486.34,483.83
19296,Insertion of catheter into breast for radiation therapy using imaging guidance,N,F,142,307,303,307,4765.95,254.56,197.24,203.84
19296,Insertion of catheter into breast for radiation therapy using imaging guidance,N,O,401,1620,1590,1618,9639.03,3799.53,2946.10,3039.87
19297,Insertion of catheter into breast for radiation therapy concurrent with partial breast removal using imaging guidance,N,F,181,663,653,658,444.66,98.47,76.78,76.41
19297,Insertion of catheter into breast for radiation therapy concurrent with partial breast removal using imaging guidance,N,O,9,28,28,28,581.39,102.08,80.03,77.37
19298,Insertion of catheters into breast for radiation therapy with or after breast removal using imaging guidance,N,F,41,107,104,106,3119.96,431.20,336.28,340.76
19298,Insertion of catheters into breast for radiation therapy with or after breast removal using imaging guidance,N,O,17,62,61,62,2536.02,776.33,602.60,607.70
19300,Removal of extra breast tissue,N,F,378,420,405,408,2299.81,534.25,413.52,421.02
19300,Removal of extra breast tissue,N,O,14,14,14,14,2012.41,517.82,402.82,416.65
19301,Partial removal of breast,N,F,7159,60354,55377,60197,2151.59,631.60,489.31,489.19
19301,Partial removal of breast,N,O,379,2321,2150,2319,2332.72,672.87,522.43,496.38
19302,Partial removal of breast and underarm lymph nodes,N,F,2294,4599,4574,4593,2618.48,847.66,657.48,666.90
19302,Partial removal of breast and underarm lymph nodes,N,O,66,90,89,90,3412.76,885.96,689.93,670.37
19303,Total removal of breast,N,F,6591,22083,21889,21971,3039.21,971.58,753.66,738.10
19303,Total removal of breast,N,O,160,381,381,381,4462.08,1099.72,855.59,755.70
19304,"Removal of tumor and breast tissue, accessed beneath the skin",N,F,385,538,532,534,2142.81,590.84,453.18,432.96
19305,"Removal of breast, lymph nodes, and muscle",N,F,260,289,287,288,2952.67,969.41,758.26,745.40
19306,"Removal of breast, skin, lymph nodes, and chest muscles",N,F,38,45,45,45,3326.81,1161.85,905.62,858.51
19307,Removal of breast and underarm lymph nodes,N,F,4087,7962,7937,7957,3021.65,1058.18,820.94,828.04
19307,Removal of breast and underarm lymph nodes,N,O,83,132,132,132,5079.45,1254.99,974.79,874.09
19316,Enlargement of breast,N,F,1618,3265,3165,3220,3748.18,606.71,469.80,466.08
19316,Enlargement of breast,N,O,69,98,98,98,3689.63,572.17,436.54,440.76
19318,Repositioning of breast on chest,N,F,2533,6711,6195,6208,6012.24,1252.54,962.34,995.36
19318,Repositioning of breast on chest,N,O,104,159,158,159,6254.78,1302.83,1005.07,1008.52
19324,Enlargement of breast,N,F,26,58,55,58,1444.23,447.59,347.45,344.01
19325,Enlargement of breast with insertion of prosthetic implant,N,F,484,655,625,631,3577.09,635.64,490.16,492.86
19325,Enlargement of breast with insertion of prosthetic implant,N,O,19,20,20,20,2957.52,512.45,398.27,390.27
19328,Removal of intact breast implant,N,F,1475,2491,2328,2403,2580.78,464.37,358.53,358.41
19328,Removal of intact breast implant,N,O,92,114,114,114,1858.43,419.46,314.53,328.32
19330,Removal of mammary implant material,N,F,994,1589,1449,1462,3044.33,594.55,460.57,465.00
19330,Removal of mammary implant material,N,O,40,44,43,44,2535.18,561.01,434.59,443.77
19340,"Insertion of breast prosthesis at time of breast repositioning, removal or reconstruction",N,F,1645,4297,3983,4111,4576.36,1151.86,885.48,876.56
19340,"Insertion of breast prosthesis at time of breast repositioning, removal or reconstruction",N,O,63,127,124,127,4571.73,1199.88,919.94,888.21
19342,"Insertion of breast prosthesis following breast repositioning, removal or reconstruction",N,F,1409,3782,3483,3602,5180.08,1185.37,913.86,931.45
19342,"Insertion of breast prosthesis following breast repositioning, removal or reconstruction",N,O,53,99,98,99,4193.04,1082.51,838.96,865.39
19350,Reconstruction of nipple or area around nipple,N,F,953,1771,1661,1684,4318.94,609.17,467.30,476.26
19350,Reconstruction of nipple or area around nipple,N,O,234,376,364,376,4254.23,926.14,699.37,728.06
19355,Correction of inverted nipples of breast,N,F,40,50,50,50,2036.27,540.27,415.48,431.23
19357,Insertion of tissue expander in breast,N,F,2212,5583,5363,5541,7198.97,1612.54,1244.17,1274.47
19357,Insertion of tissue expander in breast,N,O,76,143,142,143,8875.39,1710.66,1323.31,1255.29
19361,Plastic surgery to reconstruct breast,N,F,634,932,918,930,6588.58,1358.49,1044.09,1073.07
19364,Plastic surgery to reconstruct breast with muscle flap,N,F,423,1099,1076,1082,21304.57,2483.26,1940.46,1842.70
19366,Plastic surgery to reconstruct breast,N,F,864,2363,2250,2316,6115.47,1377.28,1064.42,1068.10
19366,Plastic surgery to reconstruct breast,N,O,37,64,63,64,5530.66,1502.32,1170.66,1136.27
19367,Plastic surgery to reconstruct breast with abdominal muscle flap,N,F,106,122,121,122,7141.83,1636.11,1223.51,1323.76
19370,"Incision of capsule surrounding breast with freeing of scar tissue, open procedure",N,F,906,1830,1703,1765,3493.12,547.23,421.83,426.49
19370,"Incision of capsule surrounding breast with freeing of scar tissue, open procedure",N,O,47,69,69,69,3066.08,591.35,460.67,460.66
19371,Removal of capsule surrounding breast,N,F,2091,5459,4838,5012,4582.53,742.41,573.81,575.82
19371,Removal of capsule surrounding breast,N,O,88,122,120,122,4019.46,822.99,638.38,637.94
19380,Revision of reconstructed breast,N,F,1978,6019,5277,5755,4617.82,904.78,695.64,708.38
19380,Revision of reconstructed breast,N,O,154,280,249,280,4280.83,766.19,594.48,592.35
19499,Breast procedure,N,F,338,1009,969,983,1114.22,215.75,168.47,169.47
19499,Breast procedure,N,O,44,75,74,74,963.99,201.13,149.84,159.91
20005,Incision and drainage of soft tissue abscess,N,F,1679,2746,2545,2681,882.32,219.17,168.29,169.93
20005,Incision and drainage of soft tissue abscess,N,O,552,1353,1209,1342,561.24,302.28,230.24,233.82
20100,Exploration of penetrating wound of neck,N,F,304,326,320,325,1892.54,494.02,381.81,378.74
20101,Exploration of penetrating wound of chest,N,F,75,82,76,79,1285.37,170.84,133.42,124.66
20102,"Exploration of penetrating wound of abdomen, flank, or back",N,F,300,341,325,338,1173.89,221.28,171.54,171.28
20102,"Exploration of penetrating wound of abdomen, flank, or back",N,O,11,12,12,12,594.51,431.76,320.89,343.93
20103,Exploration of penetrating wound of arm or leg,N,F,1159,1752,1582,1624,1923.09,255.61,196.46,197.44
20103,Exploration of penetrating wound of arm or leg,N,O,120,195,161,192,1430.00,513.69,394.35,404.66
20200,Biopsy of muscle,N,F,464,660,626,631,702.39,106.24,81.87,82.19
20200,Biopsy of muscle,N,O,67,86,86,86,450.84,174.79,128.81,128.85
20205,Deep biopsy of muscle,N,F,1515,2371,2225,2263,1078.51,197.64,151.74,152.69
20205,Deep biopsy of muscle,N,O,97,208,193,195,824.39,245.44,186.70,182.86
20206,"Needle biopsy of muscle, accessed through the skin",N,F,5979,14770,14506,14605,375.03,58.91,45.08,45.17
20206,"Needle biopsy of muscle, accessed through the skin",N,O,869,1783,1750,1756,622.63,194.83,149.14,148.52
20220,Biopsy of bone using needle or trocar,N,F,4872,10950,10513,10652,412.49,70.84,54.66,54.58
20220,Biopsy of bone using needle or trocar,N,O,452,812,771,788,461.82,141.58,106.83,109.34
20225,Deep biopsy of bone using needle or trocar,N,F,4978,13451,12983,13188,893.66,107.77,83.13,83.34
20225,Deep biopsy of bone using needle or trocar,N,O,274,691,650,687,1420.66,456.53,352.15,355.82
20240,"Biopsy of bone, open procedure",N,F,2321,4632,4057,4276,836.07,144.69,111.44,111.16
20240,"Biopsy of bone, open procedure",N,O,513,923,801,915,538.73,129.38,96.67,98.32
20245,"Biopsy of bone, open procedure",N,F,1671,3968,3515,3717,1917.07,252.58,195.63,194.47
20245,"Biopsy of bone, open procedure",N,O,151,258,236,248,1285.33,313.60,236.19,248.64
20250,"Biopsy of spine bone at middle spinal column, open procedure",N,F,91,123,114,115,1758.73,242.95,187.27,193.09
20251,"Biopsy of spine bone at upper or lower spinal column, open procedure",N,F,225,327,302,304,1665.88,255.73,197.57,199.06
20500,Injection for repair of abnormal muscle drainage tract,N,F,206,289,254,281,415.24,71.67,54.45,53.34
20500,Injection for repair of abnormal muscle drainage tract,N,O,177,498,363,465,214.42,95.94,70.95,70.67
20501,Injection of abnormal muscle drainage tract for X-ray study,N,F,1532,2076,1962,2027,227.27,36.07,27.70,27.52
20501,Injection of abnormal muscle drainage tract for X-ray study,N,O,70,100,95,99,396.68,98.76,71.46,75.03
20520,Removal of foreign body in muscle or tendon,N,F,674,840,792,798,962.26,119.32,88.93,90.71
20520,Removal of foreign body in muscle or tendon,N,O,1100,1405,1376,1398,419.30,189.61,138.18,145.14
20525,Removal of deep foreign body in muscle or tendon,N,F,1272,1730,1630,1640,1963.28,346.35,266.88,269.90
20525,Removal of deep foreign body in muscle or tendon,N,O,263,420,391,409,872.08,436.58,331.42,346.61
20526,Injection of carpal tunnel,N,F,1907,6270,5599,6205,404.73,50.48,37.40,38.24
20526,Injection of carpal tunnel,N,O,10672,69534,56275,69489,242.92,84.25,61.66,63.22
20527,Injection of enzyme in palm tissue,N,F,168,719,537,597,226.55,61.11,45.35,43.94
20527,Injection of enzyme in palm tissue,N,O,1516,8021,6127,6869,249.01,78.67,57.71,56.86
20550,"Injections of tendon sheath, ligament, or muscle membrane",N,F,6601,32958,25229,28294,298.41,30.88,22.57,22.68
20550,"Injections of tendon sheath, ligament, or muscle membrane",N,O,43915,773429,495557,677215,153.49,48.37,34.85,34.81
20551,Injections of tendon attachment to bone,N,F,1847,4382,3570,3873,301.29,33.10,24.27,24.55
20551,Injections of tendon attachment to bone,N,O,16726,201669,88131,127433,134.70,44.92,33.00,33.67
20552,Injections of trigger points in 1 or 2 muscles,N,F,6518,42973,31665,42964,396.79,30.58,22.65,23.20
20552,Injections of trigger points in 1 or 2 muscles,N,O,29618,334211,218317,334160,157.82,50.59,37.12,37.89
20553,Injections of trigger points in 3 or more muscles,N,F,3170,35501,21380,35499,390.69,34.71,25.73,26.48
20553,Injections of trigger points in 3 or more muscles,N,O,15486,314913,144992,314859,209.09,58.68,43.52,43.95
20555,Insertion of needles or catheters into muscle and/or tissue for radiation therapy,N,F,26,34,33,34,1029.14,289.79,228.96,190.12
20555,Insertion of needles or catheters into muscle and/or tissue for radiation therapy,N,O,17,134,50,134,553.86,321.18,248.57,259.59
20600,Aspiration and/or injection of small joint or joint capsule,N,F,6876,27350,20031,22323,438.18,25.72,19.03,19.01
20600,Aspiration and/or injection of small joint or joint capsule,N,O,38325,377648,259482,337372,134.04,43.77,31.47,31.28
20604,Aspiration and/or injection of small joint or joint capsule with recording and reporting using ultrasound guidance,N,F,584,1889,1444,1632,336.16,43.39,31.66,30.62
20604,Aspiration and/or injection of small joint or joint capsule with recording and reporting using ultrasound guidance,N,O,4224,35886,24289,31910,220.18,67.51,50.25,49.09
20605,Aspiration and/or injection of medium joint or joint capsule,N,F,13629,36353,30284,33818,330.63,31.98,23.69,23.75
20605,Aspiration and/or injection of medium joint or joint capsule,N,O,54009,418855,307153,395350,151.33,47.33,34.06,34.36
20606,Aspiration and/or injection of intermediate joint or joint capsule with recording and reporting using ultrasound guidance,N,F,1385,3227,2807,3042,338.72,51.21,37.93,37.57
20606,Aspiration and/or injection of intermediate joint or joint capsule with recording and reporting using ultrasound guidance,N,O,5693,46378,33397,43468,261.13,77.42,57.52,56.70
20610,Aspiration and/or injection of large joint or joint capsule,N,F,45629,479438,344591,453537,368.33,44.66,32.90,33.13
20610,Aspiration and/or injection of large joint or joint capsule,N,O,99320,5361536,3011812,5018479,218.73,61.58,44.77,44.94
20611,Aspiration and/or injection of major joint or joint capsule with recording and reporting using ultrasound guidance,N,F,5206,32687,24578,31187,492.35,62.94,47.05,46.96
20611,Aspiration and/or injection of major joint or joint capsule with recording and reporting using ultrasound guidance,N,O,13029,865533,414381,807568,344.53,94.64,71.01,68.32
20612,Aspiration and/or injection of cysts,N,F,855,1269,1199,1251,246.97,35.48,25.18,25.70
20612,Aspiration and/or injection of cysts,N,O,10395,25093,21736,24649,155.02,58.36,41.49,41.83
20615,Aspiration and injection treatment of bone cyst,N,F,35,44,41,41,811.44,148.87,116.71,115.56
20615,Aspiration and injection treatment of bone cyst,N,O,133,435,349,434,400.97,199.71,151.35,187.88
