rsd,y_pred,y_conf,y_true,provider_count,unique_beneficiary_provider
Biopsy of soft tissue of leg or ankle ,3,0.87006634,2,376,1328
Injection of contrast for X-ray imaging of tear sac,2,0.8780384,2,21,60
Radiological supervision and interpretation of balloon dilation of narrowed renal or abdominal organ artery ,1,0.40045646,2,1171,1708
Needle aspiration of bladder,2,0.68899816,2,58,86
Radiological supervision and interpretation X-ray of shoulder joint ,2,0.69092226,2,1346,6685
"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval ",0,0.6943243,2,83,937
Ultrasonic guidance imaging supervision and interpretation for insertion of needle,2,0.5991657,2,24626,339700
MRI scan of upper spinal canal with contrast,4,0.72816175,2,1783,2812
"Repair of wound (2.6 to 5.0 centimeters) of the face, ears, eyelids, nose, lips, and/or mucous membranes",2,0.6950047,2,3717,4831
Introduction of saline or X-ray contrast material for X-ray imaging of the uterus and tubes,3,0.51210296,2,528,759
Unclassified drugs ,2,0.84417367,2,8,12
"Extraction, erupted tooth requiring removal of bone and/or sectioning of tooth, and including elevation of mucoperiosteal flap if indicated",2,0.6867683,2,66,77
"Destruction of malignant growth (1.1 to 2.0 centimeters) of scalp, neck, hands, feet, or genitals ",2,0.96435344,2,8195,69514
"Nuclear medicine multiple studies of vessels of heart at rest, using drugs, or exercise ",4,0.4391993,2,1459,11614
"Transmitting coil and cable, integrated, for use with cochlear implant device, replacement",2,0.82726526,2,1,97
Measurement of hydrogen in breath to test for GI symptoms ,1,0.71226484,2,1991,21006
"Chemotherapy into a lesion, more than 7 lesions",2,0.703074,2,85,156
Placement of breast localization devices accessed through the skin with mammographic guidance ,3,0.66766083,2,6414,27471
"Unattended sleep study with recording of heart rate, oxygen, respiratory airflow and effort ",2,0.9289193,2,2715,23338
Removal of skin and tissue first 20 sq cm or less,3,0.47031236,2,24360,289657
Injection for X-ray imaging of breast duct ,2,0.82221556,2,143,195
"Injection, brentuximab vedotin, 1 mg ",2,0.69531935,2,398,439
Replacement of central venous catheter ,5,0.27172172,2,2771,4854
Repair of iris and lens tissue,5,0.7084968,2,39,68
Ultrasound study of arteries and arterial grafts of one arm or limited,1,0.9005126,2,4042,24214
"Destruction of malignant growth (0.5 centimeters or less) of face, ears, eyelids, nose, lips, or mouth ",2,0.45234188,2,4856,28189
Injection of hemorrhoids ,2,0.83037525,2,281,6408
Placement of breast localization devices accessed through the skin with MRI guidance,3,0.7148404,2,31,37
Injection of bile duct for X-ray imaging procedure accessed through the skin using imaging guidance including radiological supervision and interpretation,4,0.41061822,2,3551,7457
Insertion of eye fluid drainage device ,6,0.92880166,2,53,62
"Pathology examination of tissue using a microscope, high complexity",2,0.47163543,2,8593,137456
Biopsy of nerve,4,0.41165125,2,37,149
Insertion of indwelling bladder catheter,2,0.85330415,2,11990,96475
"Injection, cosyntropin, not otherwise specified, 0.25 mg",1,0.3742331,2,149,372
"Management of radiation therapy, simple",3,0.5020292,2,523,3277
Placement of internal devices to assist circulation ,3,0.64671504,2,6,12
Electron microscopy for diagnosis,2,0.7465654,2,719,13620
CT scan chest before and after contrast,4,0.33422342,2,10919,48938
X-ray of upper digestive tract,1,0.80158335,2,1310,25646
Needle measurement and recording of electrical activity of muscles of arm or leg complete study,2,0.8289696,2,9850,480062
Injection for X-ray study of shunt from jugular vein to abdominal cavity ,2,0.52894586,2,99,119
CT scan chest before and after contrast,4,0.33422884,2,11290,54421
Removal of skin suture with change of bladder tube ,2,0.8791971,2,6414,34112
Imaging of urinary tract,1,0.48828202,2,785,3427
Nuclear medicine study of liver,1,0.6666862,2,76,120
"Management of radiation therapy, intermediate ",2,0.6045369,2,363,1767
Aspiration of eye fluid,3,0.3617836,2,1908,9788
"Incision of abscess, cyst, or blood accumulation in mouth ",3,0.86204225,2,392,877
"Application of short leg cast (below knee to toes), walking or ambulatory type",2,0.917956,2,3836,13303
"Monitoring of gastroesophageal reflux including analysis and interpretation, prolonged (greater than 1 hour, up to 24 hours)",3,0.4113873,2,433,2824
"Destruction of malignant growth (0.5 centimeters) of scalp, neck, hands, feet, or genitals ",2,0.679746,2,200,368
Ultrasound study of arteries and arterial grafts of both legs ,1,0.9570256,2,18014,417100
Radiological supervision and interpretation of imaging of vein of one kidney,2,0.64716727,2,282,337
Diagnostic eye examination under general anesthesia,1,0.5400079,2,83,188
Injection of drug into nasal air passages,1,0.51169246,2,398,3768
Incision and drainage of ear canal abscess ,2,0.6578527,2,360,1214
Identification of organisms by genetic analysis,0,0.38254035,2,69,780
Insertion of indwelling bladder catheter ,2,0.83644706,2,11518,91092
Insertion of arterial catheter for blood sampling or infusion,2,0.880082,2,2,18
"Neurobehavioral status examination, interpretation, and report by psychologist or physician per hour",2,0.8362903,2,1046,28555
Evaluation of speech sound production with evaluation of language comprehension and expression ,2,0.8788171,2,1019,7651
Application of long leg cast brace,3,0.6443287,2,18,30
Insertion of probe into esophagus for recording and pacing upper or lower heart rhythm,2,0.47265702,2,11,70
Estrogen analysis ,1,0.49640223,2,115,3440
Release of ear bone,6,0.8180865,2,3,45
External hyperthermia treatment depth 4 cm or less,3,0.7301662,2,53,109
"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30 millicuries",3,0.42572674,2,1649,7058
"Destruction of malignant growth (1.1 to 2.0 centimeters) of scalp, neck, hands, feet, or genitals",2,0.96592325,2,8666,70369
Physician review interpretation and report of motion analysis during walking or functional activity ,2,0.9108024,2,15,112
Laser treatment (over 500 sq centimeters) for inflammatory skin disease,2,0.40856758,2,950,2438
"Injection of anesthetic agent, cranial (vagus) nerve ",2,0.9148944,2,14,20
Microscopic genetic examination manual,2,0.4008425,2,1721,27416
"Gene analysis (serpin peptidase inhibitor, clade A, alpha-1 antiproteinase, antitrypsin, member 1) common variants ",2,0.3666733,2,77,1325
Aspiration and/or injection of small joint or joint capsule,1,0.77510583,2,6689,18795
"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 11-19mev ",2,0.8099924,2,348,702
"Initial hospital inpatient care, typically 70 minutes per day ",2,0.92005837,2,228571,10021648
"Injection, glucagon hydrochloride, per 1 mg ",2,0.6844033,2,15,89
"Demonstration, prior to initiation of home inr monitoring, for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria, under the direction of a physician; includes: face-to ",0,0.5030557,2,873,37221
Placement of external devices to assist circulation,2,0.5031689,2,7,16
"Repair of wound (2.5 centimeters or less) of face, ears, eyelids, nose, lips, and/or mouth",3,0.74691963,2,8474,45638
"Gene analysis (glucose-6-phosphatase, catalytic subunit) common variants ",2,0.68782264,2,3,41
Nuclear medicine study of digestive tract,1,0.6522126,2,367,3149
Nuclear medicine backwash of urine into kidney,2,0.49694237,2,15,33
Needle measurement and recording of electrical activity of muscles in arms or legs,2,0.6803727,2,106,352
"New patient home visit, typically 60 minutes",2,0.87737006,2,5121,77639
Application of cylinder cast (thigh to ankle) ,2,0.9215091,2,90,103
"Ultrasound examination of the heart performed during rest, exercise, and/or drug-induced stress with interpretation and report",3,0.6065298,2,2628,24351
Ultrasound scanning for blood clot detection in head and neck vessel blood flow (inside the brain) ,2,0.8587788,2,326,30571
Radiation therapy plan ,3,0.80092573,2,1165,2812
"Destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals ",2,0.8782323,2,1307,2400
Evaluation of hearing rehabilitation first hour,1,0.6764567,2,68,660
"Neuropsychological testing, interpretation, and report by psychologist or physician per hour ",2,0.9002991,2,3350,100115
Radiological supervision and interpretation of CT guidance for needle insertion ,3,0.59309745,2,10248,182509
CT scan of cranial cavity before and after contrast,4,0.6903756,2,2130,2911
"Initial hospital inpatient care, typically 50 minutes per day ",2,0.5181226,2,237097,6477164
Multianalyte assay procedure with algorithmic analysis ,6,0.7661492,2,14,292
"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth",2,0.65994084,2,321,3638
Insertion of rectal or large bowel stent using an endoscope ,4,0.37739676,2,29,31
Biopsy of nerve ,4,0.43799683,2,42,106
Spinal tap for diagnosis,2,0.9017826,2,1654,4357
Chromosome analysis for genetic defects ,1,0.5220198,2,156,23709
"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels ",2,0.58995026,2,156,981
"Management of radiation therapy, simulation, complex",3,0.6718973,2,3805,107991
Diagnostic CT scan of large bowel with contrast dye,4,0.5830168,2,167,430
Ultrasound of brain,1,0.8091654,2,145,327
"Ear, nose, or throat procedure",1,0.5803935,2,25,63
Injection of air into chest cavity to collapse lung ,3,0.36629894,2,10,12
Injections of lower or sacral spine joint or nerves using ultrasound guidance ,3,0.3840059,2,6,126
"Removal of foreign body of shoulder joint, accessed beneath the skin",5,0.39294946,2,20,20
Closed treatment of dislocated foot bone,3,0.6688366,2,89,132
Biopsy of cervix or excision of local growths ,2,0.8420725,2,4515,5605
Molecular pathology procedure level 1,2,0.55435526,2,54,21611
Control of anal bleeding using an endoscope ,4,0.6526528,2,211,243
"Dialysis services (1 physician visit per month), patient 20 years of age and older",3,0.93114823,2,7687,94348
Hemodialysis procedure with repeated evaluations,2,0.91159904,2,122,308
Repair of iris and lens tissue ,5,0.7360888,2,23,25
Drug infusion or exercise for heart stimulation during diagnostic study,2,0.7883478,2,7,27
Dilation of tear-drainage opening,2,0.82499146,2,243,697
Removal of scarring of lining of eyelid due to infection,2,0.4851632,2,237,2156
"Repair of wound of eyelids, nose, ears, and/or lips",2,0.4780631,2,274,406
Biopsy of tongue ,2,0.53762585,2,766,1005
Biopsy of cervix or excision of local growths,2,0.8157597,2,4769,5950
Radiological supervision and interpretation of imaging of vein of one kidney,2,0.647169,2,36,122
Laser treatment (250 to 500 sq centimeters) for inflammatory skin disease,2,0.8036203,2,16,20
Ultrasound of fetal umbilical artery flow rate ,2,0.54545254,2,862,1768
Tissue culture for tumor disorders of bone marrow and blood cells,2,0.62480646,2,219,24863
Fluoroscopic and video recorded motion evaluation of swallowing function,2,0.9065903,2,282,7484
Molecular pathology procedure level 4 ,2,0.36226085,2,8,33
Radiological supervision and interpretation X-ray of knee joint,2,0.8460639,2,348,788
Evaluation of hearing function brain responses,0,0.6630121,2,21,502
Repair of central venous catheter for infusion,4,0.3668366,2,474,617
Ultrasonic guidance for biopsy of heart wall,1,0.76293766,2,13,68
"Repair of wound (2.5 centimeters or less) of face, ears, eyelids, nose, lips, and/or mouth",3,0.74691963,2,8304,44568
Scraping of cornea for diagnosis,2,0.9581231,2,1269,3656
Electronic analysis and programming of implanted complex deep brain neurostimulator generator system,3,0.5023638,2,365,1933
Removal of anal polyps or growths using an endoscope,4,0.41837305,2,27,38
Microscopic genetic analysis of nerve tissue,3,0.55293685,2,20,258
Radiological supervision and interpretation of imaging of arteries of both lungs,2,0.6844189,2,849,1350
Radiological supervision and interpretation of placement of catheter into ureter (accessed through the skin) procedure ,2,0.4103934,2,44,67
Ultrasonic guidance imaging supervision and interpretation for chorionic villus sampling,1,0.70691884,2,14,16
CT scan head or brain before and after contrast,3,0.46426556,2,14555,86047
Radiological supervision and interpretation X-ray of hip joint,1,0.49548,2,1010,7565
"Repair of wound (2.6 to 7.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs",2,0.83983254,2,45561,118874
"Injection of anesthetic agent, greater occipital nerve",3,0.5853632,2,8000,38568
"Psychotherapy for crisis, first 60 minutes ",2,0.9065728,2,746,4125
Biopsy of cornea,2,0.79247445,2,35,48
Ultrasound scan of penile arterial inflow and venous outflow,2,0.86223423,2,147,527
Examination of external female genitals using an endoscope ,2,0.5829825,2,1251,4218
Gene analysis (breast cancer 2) known familial variant,3,0.56554484,2,4,68
Radiological supervision and interpretation of imaging of abdominal artery,3,0.689577,2,5099,24986
Radiological supervision and interpretation of imaging of artery,2,0.48599264,2,558,5845
"Removal of malignant growth (0.6 to 1.0 centimeters) of the trunk, arms, or legs ",3,0.5946173,2,8551,25107
Diagnostic eye examination under general anesthesia,1,0.5400106,2,607,838
Ultrasound guidance for tissue destruction,2,0.7961932,2,30,191
Instillations of drug into kidney and/or urinary duct (ureter),2,0.46267715,2,27,43
Chemical destruction of growths of penis ,2,0.813164,2,421,519
Monitoring and recording of gastroesophageal reflux through nose including analysis and interpretation,2,0.714938,2,483,2425
"Injection, panitumumab, 10 mg",2,0.5269852,2,1397,2151
MRI scan of both breasts with contrast,2,0.7031306,2,4163,38919
3D radiographic procedure with computerized image postprocessing,2,0.47858438,2,3366,61819
MRI scan of pelvis before and after contrast,2,0.60984826,2,10540,75333
Follow-up or repeat ultrasound of fetal heart blood flow,1,0.5705497,2,69,85
"Dilation of narrowing of bladder canal (urethra), male",2,0.86482805,2,1179,2865
Freezing destruction of penile growths,2,0.80497766,2,109,126
"Fetal congenital abnormalities, biochemical assays of four analytes (afp, ue3, hcg [any form], dia) utilizing maternal serum, algorithm reported as a risk score",2,0.61498886,2,4,11
Pneumococcal vaccine for injection into muscle,2,0.55375016,2,466,1822
"Application of cast, shoulder to hand (long arm)",2,0.8244918,2,4428,8281
Imaging of blood vessels in back of eye using fluorescein dye,2,0.81099457,2,4351,387855
Injection for X-ray imaging procedure on veins of arm or leg,2,0.5777702,2,4684,15870
Scraping of skin growth,2,0.65246826,2,92,456
Scraping of tissue of cervix,2,0.8031068,2,1183,1528
Testing of autonomic (sympathetic) nervous system function,1,0.9500868,2,1153,44232
Electronic analysis of spinal canal drug infusion pump ,2,0.8574551,2,1136,4283
"Chemotherapy into a lesion, up to and including 7 lesions",1,0.878489,2,122,320
Induced abortion by dilation and uterine scraping,4,0.4520332,2,6,12
Lengthening of esophagus,6,0.31762657,2,68,137
MRA scan of neck blood vessels,4,0.91312784,2,9449,69350
X-ray of esophagus,1,0.47263178,2,4333,36693
"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit",2,0.90638256,2,4706,105851
"Three-dimensional, video-taped, computer-based gait analysis ",2,0.85518605,2,33,138
Biopsy of bladder canal (urethra) ,3,0.8344203,2,47,48
Ultrasound evaluation of heart blood vessel during diagnosis or treatment ,2,0.5569709,2,28,32
"Critical care delivery critically ill or injured patient, first 30-74 minutes ",2,0.5297452,2,985,2612
"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",2,0.60934025,2,2548,191101
"Transitional care management services, highly complexity, requiring face-to-face visits within 7 days of discharge",2,0.9433219,2,3392,20426
Pelvic examination under anesthesia ,2,0.7323666,2,1755,2355
"Radiation treatment devices, design and construction, complex ",2,0.5810353,2,3771,173931
Insertion of stent in lung airways using an endoscope,4,0.50705,2,61,92
Change of tube or stent in urinary duct (ureter),2,0.85496277,2,1375,2846
Measurement of hydrogen in breath to test for GI symptoms,1,0.7025244,2,2060,23883
"X-ray of upper digestive tract, kidneys, urinary ducts (ureters), and bladder with contrast",2,0.79763824,2,1657,6909
Application of vein wound compression system upper arm and forearm,1,0.7571813,2,12,227
Injection for X-ray imaging of left upper or lower heart,2,0.5666301,2,65,114
Biopsy of sclera ,2,0.5602696,2,468,695
Vaccine for bladder cancer injection into urinary bladder,2,0.5939987,2,12,19
MRI scan of abdomen,2,0.74215823,2,12713,87854
Removal of nail with amputation of fingertip ,4,0.51418376,2,215,668
Radiological supervision and interpretation of imaging of spinal artery,3,0.46488062,2,774,1084
Relocation of mouth tissue to gum surface ,2,0.7343302,2,93,131
Drainage of abscess of salivary gland,4,0.41251475,2,72,75
Ultrasound scan of veins of one arm or leg or limited including assessment of compression and functional maneuvers,1,0.6873787,2,28252,501536
"Radiological supervision and interpretation of dilation of kidney opening, urinary ducts (ureters) or bladder duct (urethra)",2,0.38152048,2,887,2773
CT scan leg with contrast injection ,2,0.6420162,2,10027,26708
Diagnostic examination of esophagus using an endoscope,3,0.88121223,2,20,28
Insertion of rectal or large bowel stent using an endoscope,4,0.37870404,2,14,14
CT scan of lower spine before and after contrast,4,0.4277349,2,2318,3334
Dressing change and/or removal of burn tissue (5% to 10% total body surface),2,0.76413256,2,516,715
Nuclear medicine imaging for thyroid uptake measurements,1,0.49880606,2,1432,5444
Injection procedure to correct abnormally thickened penile tissue,2,0.6011649,2,75,193
Needle biopsy of breast,2,0.9287307,2,1137,1967
Insertion of external tube from vein to vein for dialysis,3,0.6276505,2,12,61
"Nerve transmission studies, 1-2 studies",2,0.69074166,2,1898,5997
"Repair of wound (2.6 to 7.5 centimeters) of the scalp, underarms, trunk, arms, and/or legs ",3,0.6845234,2,13633,185359
Refilling and maintenance by physician of implantable spinal or brain drug delivery pump or reservoir,2,0.79541856,2,360,1469
"Infusion into a vein for therapy, prevention, or diagnosis",1,0.8758337,2,9,13
Ultrasonic guidance imaging supervision and interpretation for chorionic villus sampling,1,0.70691884,2,18,19
Dressing change and/or removal of burn tissue (greater than 10% total body surface),2,0.8176561,2,112,160
Nuclear medicine study brain with metabolic evaluation,2,0.48979166,2,818,4035
"Injection to cause blood clot in a diseased or bulging vessel of arm or leg, accessed through the skin ",2,0.7540547,2,115,156
"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit",2,0.9150682,2,89897,1157327
Radiological supervision and interpretation X-ray of knee joint ,2,0.8380711,2,468,877
Hormone receptor analysis,1,0.34243762,2,19,516
Insertion of probe in esophagus for congenital heart ultrasound examination,3,0.8523786,2,71,107
Radiological supervision and interpretation of imaging of vein of one kidney ,2,0.65105605,2,22,59
MRI scan of bone marrow,4,0.78505725,2,161,1675
Ultrasound of spinal canal,2,0.9213381,2,189,268
CT scan of abdomen and pelvis,2,0.5864213,2,23180,1962014
Prolonged office or other outpatient service first hour ,2,0.45453766,2,2784,13513
Measuring the stiffness in the liver via elastography,2,0.61460316,2,674,9748
"Assessment of antibody to human leukocyte antigens (HLA) with solid phase assays, HLA class II",2,0.8444495,2,9,117
"Electronic analysis and programming of implanted complex cranial neurostimulator generator system during or after surgery, first hour",2,0.53843665,2,1318,4697
Supervision and interpretation of ultrasound of digestive tract using an endoscope,1,0.5235976,2,8,11
Repair of rectal prolapse under anesthesia,3,0.6487261,2,22,24
Dressing change under anesthesia ,1,0.7099146,2,1388,1913
Nuclear medicine imaging from skull base to mid-thigh ,6,0.703695,2,451,4584
Closed treatment of broken foot bone,3,0.93255126,2,104,120
Preparation of specimen using laser,2,0.72339755,2,31,177
Radiological supervision and interpretation of imaging of vein of one kidney,2,0.6471691,2,22,106
"Study of sleep and wake patterns including interpretation and report, minimum of 72 hours to 14 consecutive days of recording ",1,0.47651044,2,103,459
"Nerve transmission studies, 1-2 studies ",2,0.70770645,2,1917,6609
"Repair of wound (2.5 centimeters or less) of face, ears, eyelids, nose, lips, and/or mouth ",3,0.74095714,2,7945,43443
Behavioral and qualitative analysis of voice and resonance,2,0.87276274,2,1098,11890
CT scan of congenital heart structure defect with contrast ,4,0.58966345,2,184,337
Surface application of radiation ,2,0.7033788,2,54,240
Microscopic genetic examination manual ,2,0.40187517,2,518,41253
Lymphedema assessment for extracellular fluid analysis ,0,0.8618704,2,95,1258
"Destruction of malignant growth (0.5 centimeters or less) of trunk, arms, or legs ",1,0.92728,2,338,804
Gene analysis (fms-related tyrosine kinase 3) internal tandem duplication variants ,2,0.66252637,2,55,3425
Injection of chemotherapy using push technique into an artery,2,0.76227593,2,36,89
MRI scan of lower spinal canal ,4,0.812004,2,15883,662229
"Shaving of over 2.0 centimeters skin growth of the trunk, arms, or legs",2,0.8211908,2,4131,14349
"Radiological supervision and interpretation X-ray of bile and/or pancreatic ducts, contrast inserted through existing catheter ",1,0.5707455,2,94,118
MRI scan brain,2,0.6421092,2,16582,846859
Androstanediol glucuronide (hormone) level ,2,0.87101716,2,31,110
CT scan of face with contrast,2,0.80618715,2,9660,22096
"Radiological supervision and interpretation X-ray of kidney cyst, lower back contrast injection ",2,0.75046206,2,7,28
Evaluation of specimen enzymes,1,0.5939895,2,151,811
Radiological supervision and interpretation of imaging of arteries of both adrenal glands,2,0.49699312,2,12,12
Testing of autonomic (sympathetic) nervous system function ,1,0.94794726,2,2446,108425
Mechanical removal of tissue or obstructive material in central venous catheter,2,0.7592422,2,270,437
CT scan of face,3,0.5186689,2,19555,367968
Imaging of bone marrow whole body,1,0.814111,2,10,14
"Injection of chemical for destruction of nerve muscles on trunk, 5 or more muscles",3,0.5857797,2,841,2679
"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 11-19 mev",2,0.78092,2,317,642
Incision and drainage of eye cyst ,3,0.70780355,2,1368,2866
Ultrasound of uterus,1,0.7871454,2,2401,5719
"Imaging of brain, blood flow ",1,0.8419528,2,2,72
Assessment of erectile dysfunction including injection of drugs into the penis,2,0.40492713,2,10,48
"Measurement and recording of brain wave (EEG) activity, overnight ",2,0.60588926,2,103,224
CT scan of pelvic blood vessels with contrast ,4,0.8958486,2,1634,2318
Bladder irrigation and/or instillation,2,0.8816319,2,8075,93689
Repair of finger or toe nail bed ,3,0.55048203,2,484,1465
Spinal puncture in upper spine with injection of substance,2,0.6247476,2,23,42
Detection test for Hepatitis C virus,1,0.5232754,2,170,8902
Injections of trigger points in 1 or 2 muscles ,2,0.48982263,2,7057,35549
Radiation therapy consultation per week,2,0.8690902,2,2135,119631
"Application of long leg cast (thigh to toes), walker or ambulatory type",2,0.94249797,2,149,188
Ultrasound scan of penile arterial inflow and venous outflow,2,0.86223114,2,553,6052
Management and supervision of oxygen chamber therapy per session,2,0.88005817,2,1169,7214
"Evaluation, testing and programming adjustment of defibrillator with analysis, review and report ",1,0.5118849,2,9629,139710
Application of vein wound compression system upper arm and forearm,1,0.7571812,2,20,207
Dressing change and/or removal of burn tissue (5% to 10% total body surface),2,0.7641328,2,471,635
Insertion of electrodes in bone for measurement and recording of brain wave activity (EEG) ,2,0.7342107,2,26,42
"Injection of chemical for destruction of nerve muscles on arm or leg, 5 or more muscles",2,0.6679006,2,2444,10529
Gene analysis (mutS homolog 6 [E coli]) known familial variants,2,0.718321,2,3,29
Refilling and maintenance of portable pump,2,0.58462393,2,1787,9063
CT scan of abdomen and pelvis with contrast ,4,0.7383733,2,23026,2302611
"Supply of injectable contrast material for use in echocardiography, per study ",2,0.39786443,2,85,645
Imaging of parathyroid with CT and nuclear medicine study,2,0.6199353,2,1365,6515
Injection of enzyme in palm tissue ,2,0.8041649,2,1446,5796
Laser treatment (250 to 500 sq centimeters) for inflammatory skin disease ,2,0.80243474,2,44,73
"Cochlear implant, external controller component, replacement",3,0.7596256,2,3,260
Biopsy of throat lesion behind nose,3,0.88228977,2,129,146
Gene rearrangement analysis (immunoglobulin heavy chain locus) to detect abnormal clonal population amplified methodology,3,0.8861173,2,7,14
Radiological supervision and interpretation of placement of catheter with drainage (accessed through the skin) procedure,2,0.68400705,2,3414,9417
Biopsy of penis,4,0.42427623,2,2018,2493
"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation ",2,0.50557005,2,7,129
"Injection of chemical for destruction of nerve muscles on trunk, 5 or more muscles",3,0.58577967,2,857,2758
Needle or trocar bone marrow biopsy ,2,0.6154205,2,4939,42744
Simple control of nose bleed,2,0.72119194,2,22412,40603
"Radiological supervision and interpretation X-ray of disc of vertebra, lower spine",2,0.5709553,2,459,1723
Growth hormone stimulation panel,1,0.72657627,2,11,12
Detection test for digestive tract pathogen ,3,0.746682,2,24,873
Bone density measurement using dedicated X-ray machine ,2,0.5443508,2,30340,1261995
Cardiac shunt detection,1,0.8109307,2,7,51
"Diagnostic mammography, producing direct 2-d digital image, bilateral, all view ",2,0.6545287,2,7776,214693
"Radiation treatment devices, design and construction, intermediate",2,0.62617475,2,604,4434
Drainage of abscess ,1,0.4890567,2,39533,69384
Bcg (intravesical) per instillation ,2,0.8382407,2,11,32
Foreign body removal in rectum and large bowel using an endoscope,2,0.6927852,2,68,69
Biopsy of mouth,2,0.8499992,2,786,3011
Removal of skin debris and drainage of mastoid cavity,2,0.5817139,2,5006,27198
Complex control of nose bleed ,2,0.57310504,2,15535,26008
Imaging of bone marrow limited area ,1,0.8104681,2,72,169
Electronic analysis and reprogramming of spinal canal drug infusion pump,2,0.9626133,2,1261,4801
Ultrasound of eye disease or growth,2,0.5425979,2,104,193
Repair of rectal prolapse under anesthesia ,3,0.64660054,2,94,97
Control of nose bleed and insertion of packing ,3,0.8702262,2,740,1271
"Repair of wound (2.5 centimeters or less) of the face, ears, eyelids, nose, lips, and/or mucous membranes",2,0.7277989,2,8107,13206
Refilling and maintenance of implantable pump or reservoir for drug delivery,2,0.471735,2,294,1093
Spinal tap for diagnosis ,2,0.88879573,2,27746,75444
Imaging of kidney,1,0.84256893,2,33,73
"Injection of chemical for destruction of nerve muscles on arm or leg, 1-4 muscles ",2,0.70679694,2,1176,6334
Drainage of tailbone cyst ,2,0.57944596,2,714,972
"Nuclear medicine study of heart wall motion at rest or stress with evaluation of blood ejection from heart, single study",2,0.5843709,2,4632,15495
Closed treatment of broken foot bone,3,0.93255174,2,18,18
Diagnostic neurological or neuromuscular procedure,2,0.79761,2,14,40
Diagnostic examination of large bowel using an endoscope,4,0.60788065,2,1840,10197
Hepatitis B immune globulin for injection into muscle,2,0.4601416,2,27,32
Removal of remaining tonsil tissue,3,0.3504233,2,16,17
Injection of contrast through abdominal cavity catheter for X-ray study,2,0.8972818,2,2866,12738
Insertion of device into bladder to measure pressure of urine flow,3,0.7394315,2,204,2356
Biopsy of bone using needle or trocar,2,0.73644316,2,4796,10124
"Epifix, per square centimeter ",3,0.32561493,2,1293,4189
Destruction of 15 or more skin growths ,2,0.835914,2,15549,562225
"Injection, pamidronate disodium, per 30 mg",2,0.4501103,2,1718,3748
Repair of wound of trunk ,2,0.83821464,2,2509,8090
Setup and programming of wearable cardioverter-defibrillator,2,0.6610737,2,12,21
Removal of eyelashes ,2,0.530669,2,582,2137
Diagnostic insertion of small bowel tube and specimen collection using imaging guidance,3,0.3680159,2,7,22
"Injection to cause blood clot in a diseased or bulging vessel of arm or leg, accessed through the skin ",2,0.7540386,2,2315,4322
Biopsy of rectum and large bowel using an endoscope ,3,0.58195066,2,536,677
Spinal puncture in upper spine with injection of substance,2,0.62474626,2,121,351
Insertion of indwelling bladder catheter ,2,0.8365199,2,4329,18453
Ultrasonic guidance imaging supervision and interpretation for transfusion or drainage of uterus ,2,0.47908792,2,8,11
Tissue culture for disorders of amniotic fluid or placenta cells ,2,0.5527848,2,24,71
MRI scan of pelvis,4,0.7602062,2,10205,41463
Removal of suture of cervix under anesthesia ,2,0.6364849,2,40,41
CT scan of arm with contrast,3,0.7357915,2,6187,12084
"Initial nursing facility visit, typically 45 minutes per day ",2,0.949694,2,24627,882748
"Incision of vein for insertion of needle or catheter, patient age 1 or over",0,0.42571658,2,43,188
Aspiration and injection treatment of bone cyst ,2,0.4906269,2,152,500
HER-2 oncoprotein (cancer related gene) measurement,2,0.7718753,2,10,70
"Needle biopsy of lining of lung, accessed through the skin",3,0.56180996,2,16,20
Vaccine for human papilloma virus (3 dose schedule) injection into muscle,1,0.5287182,2,12,12
CT scan of abdominal and pelvic blood vessels with contrast ,4,0.8308743,2,16405,152725
Detection test for Cytomegalovirus (CMV) ,1,0.41205916,2,121,1998
Dressing change and/or removal of burn tissue (5% to 10% total body surface),2,0.76413316,2,427,680
Placement of breast localization devices accessed through the skin with ultrasound guidance,3,0.7610126,2,843,1141
"Skin graft at trunk, arms, or legs ",3,0.7406076,2,23,27
Application of vein wound compression system thigh and lower leg,2,0.34998673,2,39,132
"Injection, ganciclovir sodium, 500 mg",2,0.7253577,2,55,103
CT scan of pelvic blood vessels with contrast,4,0.89509475,2,1437,1866
Pelvic examination under anesthesia,2,0.7414195,2,194,351
X-ray survey of forearm or wrist bone density,1,0.6659817,2,4669,15131
Ultrasound scan of veins of one arm or leg or limited including assessment of compression and functional maneuvers ,1,0.6866514,2,24987,450339
